skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance,root_type,plant,angle,root_id
0,2445,5954,110.48528137423855,2,1.0,0.0,708,2593,816,2599,708,2593,816,2599,108.16653826391968,Primary,4,86.82016988013577,Primary
0,2625,6099,156.58073580374347,2,1.0,0.0,715,2653,820,2743,715,2653,820,2743,138.2931668593933,Lateral,4,49.398705354995535,Lateral_91
0,2625,2980,14.242640687119287,1,1.0,0.0,715,2653,728,2654,715,2653,728,2654,13.038404810405298,Lateral,4,85.60129464500447,Lateral_92
0,2745,3860,42.79898987322333,2,1.0,0.0,719,3092,754,3108,719,3092,754,3108,38.48376280978771,Primary,5,65.4328286793987,Primary
1,2972,6749,234.52186130069836,1,1.0,0.0,728,2013,840,2188,728,2013,840,2188,207.77150911518163,Lateral,3,32.61924307119283,Lateral_1
1,2972,3931,29.242640687119287,2,1.0,0.0,728,2013,756,2014,728,2013,756,2014,28.0178514522438,Primary,3,87.95459151111278,Primary
1,3056,3832,24.656854249492383,2,1.0,0.0,731,937,754,941,731,937,754,941,23.345235059857504,Primary,1,80.13419305691563,Primary
1,3107,16648,578.683332908187,2,1.0,0.0,732,1494,1115,1819,732,1494,1115,1819,502.3086700426342,Lateral,2,49.68326421783323,Lateral_2
1,3107,5503,70.65685424949238,2,1.0,0.0,732,1494,801,1494,732,1494,801,1494,69.0,Primary,2,90.0,Lateral_94
0,3160,10397,258.62236636408664,2,1.0,0.0,733,3002,948,2908,733,3002,948,2908,234.65080438813757,Lateral,5,113.61539633036989,Lateral_0
0,3160,5428,92.19595949289324,2,1.0,0.0,733,3002,798,3062,733,3002,798,3062,88.45903006477066,Lateral,5,47.290610042638534,Lateral_95
0,3185,4187,104.25483399593898,1,1.0,0.0,734,2739,762,2830,734,2739,762,2830,95.2102935611481,Lateral,4,17.102728969052375,Lateral_96
0,3185,10393,289.9604614807113,2,1.0,0.0,734,2739,948,2904,734,2739,948,2904,270.22398117117586,Lateral,4,52.3667692581699,Lateral_97
0,3325,6099,161.13708498984766,1,1.0,0.0,739,2616,820,2743,739,2616,820,2743,150.63200191194434,Lateral,4,32.52953827833111,Lateral_0
1,3832,4556,22.485281374238575,2,1.0,0.0,754,941,773,934,754,941,773,934,20.248456731316587,Primary,1,110.22485943116808,Primary
1,3832,10104,311.3746750430845,2,1.0,0.0,754,941,941,1151,754,941,941,1151,281.19210515233175,None,None,41.684303451621055,
0,3860,4307,87.28427124746187,2,1.0,0.0,754,3108,766,3187,754,3108,766,3187,79.90619500389191,Lateral,5,8.637131415070755,Lateral_2
0,3860,4682,24.899494936611667,2,1.0,0.0,754,3108,776,3115,754,3108,776,3115,23.08679276123039,Primary,5,72.34987578006988,Primary
1,3931,4532,41.38477631085023,2,1.0,0.0,756,2014,772,1981,756,2014,772,1981,36.6742416417845,Lateral,3,154.13364320590549,Lateral_99
1,3931,6045,64.65685424949238,2,1.0,0.0,756,2014,819,2016,756,2014,819,2016,63.0317380372777,Primary,3,88.18169703554817,Primary
1,4041,4089,13.242640687119287,1,1.0,0.0,759,1907,760,1919,759,1907,760,1919,12.041594578792296,Lateral,3,4.763641690726178,Lateral_100
1,4041,7058,112.52691193458114,2,1.0,0.0,759,1907,850,1934,759,1907,850,1934,94.92101980067429,Lateral,3,73.47420361007437,Lateral_0
1,4168,4519,10.0,2,1.0,0.0,762,1225,772,1225,762,1225,772,1225,10.0,None,None,90.0,
0,4307,4490,8.071067811865476,2,1.0,0.0,766,3187,771,3193,766,3187,771,3193,7.810249675906654,Lateral,5,39.80557109226519,Lateral_2
1,4347,4532,27.656854249492383,1,1.0,0.0,768,1955,772,1981,768,1955,772,1981,26.30589287593181,Lateral,3,8.74616226255521,Lateral_101
1,4409,4625,24.07106781186548,1,1.0,0.0,770,746,775,724,770,746,775,724,22.561028345356956,Lateral,1,167.19573393471325,Lateral_102
1,4409,6408,71.52691193458114,1,1.0,0.0,770,746,831,722,770,746,831,722,65.55150646628954,Lateral,1,111.4767909795404,Lateral_103
1,4411,8890,164.85281374238573,2,1.0,0.0,770,908,907,877,770,908,907,877,140.46351839534705,Lateral,1,102.75002583581637,Lateral_5
1,4411,4553,24.242640687119287,2,1.0,0.0,770,908,773,931,770,908,773,931,23.194827009486403,Lateral,1,7.431407971172507,Lateral_104
0,4490,11006,296.1198410471452,1,1.0,0.0,771,3193,963,3368,771,3193,963,3368,259.7864507629295,Lateral,5,47.65213213903726,Lateral_2
0,4490,7044,94.91168824543135,1,1.0,0.0,771,3193,849,3231,771,3193,849,3231,86.76404785393545,Lateral,5,64.02560603756868,Lateral_105
1,4519,6960,107.02438661763942,2,1.0,0.0,772,1225,847,1161,772,1225,847,1161,98.59513172565875,None,None,130.47523152716582,
1,4519,7982,132.12489168102778,1,1.0,0.0,772,1225,882,1277,772,1225,882,1277,121.67168939404104,Lateral,2,64.69862137458028,Lateral_1
1,4532,4771,7.0,2,1.0,0.0,772,1981,779,1981,772,1981,779,1981,7.0,Lateral,3,90.0,Lateral_2
1,4553,4555,2.0,2,1.0,0.0,773,931,773,933,773,931,773,933,2.0,Lateral,1,0.0,Lateral_106
1,4553,4629,2.414213562373095,1,1.0,0.0,773,931,775,932,773,931,775,932,2.23606797749979,Lateral,1,63.43494882292201,Lateral_107
1,4555,4556,1.0,2,1.0,0.0,773,933,773,934,773,933,773,934,1.0,None,None,0.0,
1,4555,4597,1.0,1,1.0,0.0,773,933,774,933,773,933,774,933,1.0,Lateral,1,90.0,Lateral_5
1,4556,4659,3.0,2,1.0,0.0,773,934,776,934,773,934,776,934,3.0,Primary,1,90.0,Primary
1,4658,4659,1.0,1,1.0,0.0,776,933,776,934,776,933,776,934,1.0,None,None,0.0,
1,4659,6168,49.071067811865476,2,1.0,0.0,776,934,823,937,776,934,823,937,47.095647357266465,Primary,1,86.34777721969367,Primary
0,4682,5428,62.112698372208065,2,1.0,0.0,776,3115,798,3062,776,3115,798,3062,57.38466694161429,Lateral,5,157.4569389999421,Lateral_3
0,4682,7465,103.08326112068518,2,1.0,0.0,776,3115,865,3149,776,3115,865,3149,95.2732911156112,Primary,5,69.09201952899035,Primary
1,4735,5011,8.414213562373096,2,1.0,0.0,778,1412,786,1413,778,1412,786,1413,8.06225774829855,Lateral,2,82.8749836510982,Lateral_110
1,4771,4842,6.82842712474619,1,1.0,0.0,779,1981,781,1987,779,1981,781,1987,6.324555320336759,Lateral,3,18.43494882292201,Lateral_111
1,4771,7058,92.81118318204302,2,1.0,0.0,779,1981,850,1934,779,1981,850,1934,85.14693182963201,Lateral,3,123.50343698241423,Lateral_2
1,5011,7107,78.59797974644663,2,1.0,0.0,786,1413,852,1384,786,1413,852,1384,72.09022125087424,Lateral,2,113.7203955723046,Lateral_112
1,5011,6325,61.526911934581165,2,1.0,0.0,786,1413,828,1446,786,1413,828,1446,53.41348144429457,Lateral,2,51.84277341263094,Lateral_113
0,5165,5785,32.28427124746191,1,1.0,0.0,789,3374,810,3397,789,3374,810,3397,31.144823004794873,Lateral,5,42.397437797500196,Lateral_114
0,5428,6279,29.242640687119287,2,1.0,0.0,798,3062,826,3059,798,3062,826,3059,28.160255680657446,Lateral,5,96.11550356628541,Lateral_3
1,5503,6327,58.355339059327335,2,1.0,0.0,801,1494,828,1448,801,1494,828,1448,53.33854141237835,Lateral,2,149.58891873287465,Lateral_3
1,5503,6742,39.41421356237309,2,1.0,0.0,801,1494,840,1493,801,1494,840,1493,39.01281840626232,Primary,2,91.46880071438582,Lateral_116
0,5954,8684,243.27922061357896,2,1.0,0.0,816,2599,900,2805,816,2599,900,2805,222.46797522340154,Lateral,4,22.184013345269975,Lateral_1
0,5954,8211,79.7989898732233,2,1.0,0.0,816,2599,889,2614,816,2599,889,2614,74.52516353554684,Primary,4,78.3885135761115,Primary
1,6045,6086,3.414213562373095,1,1.0,0.0,819,2016,820,2013,819,2016,820,2013,3.1622776601683795,Lateral,3,161.565051177078,Lateral_117
1,6045,6363,11.242640687119286,2,1.0,0.0,819,2016,829,2019,819,2016,829,2019,10.44030650891055,Primary,3,73.30075576600639,Primary
0,6099,6495,19.142135623730955,2,1.0,0.0,820,2743,833,2755,820,2743,833,2755,17.69180601295413,Lateral,4,47.290610042638534,Lateral_118
1,6168,6795,20.82842712474619,2,1.0,0.0,823,937,842,936,823,937,842,936,19.026297590440446,Primary,1,93.01278750418334,Primary
1,6168,7192,58.94112549695426,2,1.0,0.0,823,937,855,978,823,937,855,978,52.009614495783374,Lateral,1,37.971603761050396,Lateral_6
0,6279,14764,287.10764773832534,2,1.0,0.0,826,3059,1066,3108,826,3059,1066,3108,244.95101551126504,Lateral,5,78.46070213987481,Lateral_3
0,6279,9621,134.953318805774,2,1.0,0.0,826,3059,927,3124,826,3059,927,3124,120.10828447696687,Lateral,5,57.23611150941634,Lateral_119
1,6325,6327,2.0,2,1.0,0.0,828,1446,828,1448,828,1446,828,1448,2.0,Lateral,2,0.0,Lateral_120
1,6325,12114,195.99494936611674,2,1.0,0.0,828,1446,993,1374,828,1446,993,1374,180.02499826412998,Lateral,2,113.57470620191262,Lateral_121
1,6327,6742,50.55634918610404,2,1.0,0.0,828,1448,840,1493,828,1448,840,1493,46.57252408878007,None,None,14.931417178137554,
1,6363,8573,70.82842712474618,2,1.0,0.0,829,2019,898,2016,829,2019,898,2016,69.06518659932803,Primary,3,92.48955292199916,Primary
1,6363,6879,30.213203435596434,1,1.0,0.0,829,2019,844,2043,829,2019,844,2043,28.30194339616981,Lateral,3,32.005383208083494,Lateral_4
0,6495,7640,69.11269837220807,2,1.0,0.0,833,2755,871,2793,833,2755,871,2793,53.74011537017761,Lateral,4,45.0,Lateral_0
0,6495,7640,59.012193308819725,2,1.0,0.0,833,2755,871,2793,833,2755,871,2793,53.74011537017761,Lateral,5,45.0,Lateral_123
1,6742,7566,30.242640687119287,2,1.0,0.0,840,1493,869,1496,840,1493,869,1496,29.154759474226502,Primary,2,84.0938588862295,Lateral_124
1,6795,7192,47.384776310850235,2,1.0,0.0,842,936,855,978,842,936,855,978,43.965895873961216,None,None,17.198541220065866,
1,6795,7870,38.65685424949238,2,1.0,0.0,842,936,879,932,842,936,879,932,37.21558813185679,Primary,1,96.1701750950296,Primary
1,6960,11115,158.45079348883235,2,1.0,0.0,847,1161,967,1251,847,1161,967,1251,150.0,None,None,53.13010235415598,
1,7058,7425,14.414213562373096,2,1.0,0.0,850,1934,864,1935,850,1934,864,1935,14.035668847618199,Lateral,3,85.91438322002513,Lateral_2
1,7079,7107,4.414213562373095,1,1.0,0.0,851,1388,852,1384,851,1388,852,1384,4.123105625617661,Lateral,2,165.96375653207352,Lateral_126
1,7107,12114,153.7695526217005,2,1.0,0.0,852,1384,993,1374,852,1384,993,1374,141.35416513141735,Lateral,2,94.05673786129488,Lateral_127
9,7115,8782,116.56854249492373,0,1.0,0.0,852,2225,903,2312,852,2225,903,2312,100.84641788382967,Lateral,3,30.379126011368342,Lateral_1
1,7192,8395,74.15432893255065,2,1.0,0.0,855,978,894,1036,855,978,894,1036,69.8927750200262,Lateral,1,33.91743053697035,Lateral_7
1,7425,12084,153.6101730552664,2,1.0,0.0,864,1935,992,1954,864,1935,992,1954,129.40247292845683,Lateral,3,81.55680907082336,Lateral_2
1,7425,9504,101.36753236814704,2,1.0,0.0,864,1935,924,2008,864,1935,924,2008,94.49338601193207,Lateral,3,39.41739424346893,Lateral_128
0,7465,8975,47.071067811865476,2,1.0,0.0,865,3149,909,3149,865,3149,909,3149,44.0,Primary,5,90.0,Primary
0,7465,13881,330.51681066681545,1,1.0,0.0,865,3149,1041,3399,865,3149,1041,3399,305.73845031333565,Lateral,5,35.14554549970606,Lateral_4
